pretty_formula,material_id,band_gap
Na2YNb3Si4(SO12)2,mp-2715697,1.8105
Y2MgSe4,mp-1232187,1.8931
Sr(AsS2)2,mp-36577,1.7211999999999998
KAgTeS3,mp-1211732,1.6838000000000002
LaZnFeMoO6,mp-1044082,1.7031999999999998
TiNiO3,mp-698587,1.7081999999999995
TlGaS2,mp-4016,1.7885
LiFe2(BO3)2,mp-759397,1.5637
Sm5AgS8,mp-37923,1.6384999999999996
Hg2P2S7,mp-27171,1.8095
Fe3P2(HO5)2,mp-1199228,1.7308
Sr5(TiN3)2,mp-1247347,1.8024
Sr2PrBiO6,mp-1516990,1.7451000000000003
MgTi(WO4)2,mp-2218111,1.6719
Li2VPO5,mp-757041,1.5391999999999997
Na5La2Nb2Si3(PO8)3,mp-2714066,1.8738
FeHO2,mp-510670,1.8729
Sr4SnPbO8,mp-1208734,1.8593
AlP2I9,mp-28046,1.6553
V2NiO6,mp-756345,1.7571
DyCuS2,mp-554120,1.6324
K2ScInI6,mp-1112016,1.9864
NiF3,mp-1180654,1.7607000000000002
Li2VF6,mp-861590,1.9566
Rb5Re3S7,mp-676329,1.6469999999999998
K4CO4,mp-545630,1.9637
MgFe3(PO4)3,mp-2231540,1.8437
MgV6(HO3)6,mp-1234793,1.6166
As4S11(N6Cl7)2,mp-706455,1.6464
RbCuC2,mp-5841,1.8861
NaLa2Sn2P3(SO8)3,mp-2716337,1.6183999999999998
Ba3LaMgIn(WO6)2,mp-2230108,1.843
LiHoSe2,mp-33322,1.5785
Rb4Hf3S14,mp-542012,1.6823
UTe(PbO4)2,mp-1191464,1.745
GaSe3N2Cl5,mp-569902,1.7959
Mo(PO3)4,mp-705035,1.8481
CuP4S3Br,mp-1196166,1.9335
Cs6Ho21S34Cl,mp-1199243,1.9586
NaCaGe3P3(SO8)3,mp-2716507,1.8926
Zn2Sb2O5,mp-1046782,1.7828999999999997
LiVSiO4,mp-753223,1.5217
Cs6Dy21S34Cl,mp-1197810,1.9469
H4Pd(NO4)2,mp-1193008,1.5880999999999998
MoH12C2(S2N)2,mp-1205118,1.8155
Na3Ti3ZnP5SO24,mp-2715915,1.9142
Mg2C3,mp-28793,1.6533000000000002
SrCa3(PbO4)2,mp-1218448,1.9231000000000005
Li3TiCr3O8,mp-757225,1.9035999999999995
Tb3CuGeS7,mp-557517,1.5788000000000002
Rb4PbO4,mp-779104,1.7171000000000003
Rb2LiVS4,mp-558815,1.5836
LaTiAlPbO6,mp-686726,1.8576000000000008
AuSCl5,mp-28192,1.56
CsPrCdTe3,mp-12494,1.5231000000000003
WSe2,mp-1023936,1.5378
PrHSe,mp-1025029,1.9162000000000003
Li4VO3F2,mp-764753,1.6330000000000002
Ca2AlMoO5,mp-1046989,1.6287000000000005
Rb2CuBr3,mp-569531,1.8371
LiFe2O2F3,mp-755207,1.6633999999999998
Ca2MnFeSi4(HO3)5,mp-1227867,1.7123000000000004
V2OF5,mp-764367,1.5134
NaSr8LaTi10O30,mp-695476,1.8022
K5Ta(TlAs2)2,mp-1211936,1.5206
Ce4ZrO10,mp-1226815,1.9513000000000007
BSe2,mp-1214789,1.7712
BaGa12O19,mp-850536,1.9291
LiCuCO3,mp-760512,1.8724
Nb10Pb14O39,mp-1101724,1.7517999999999998
Sr3(GaN2)2,mp-16945,1.5856000000000003
TaP4(SCl)5,mp-572763,1.9435
CaFe6(OF2)4,mp-1233658,1.6716000000000002
NaHf3NbSi3(SO8)3,mp-2714016,1.6417
KNiSbO4,mp-1223391,1.7597000000000005
MgNi(TeO3)4,mp-2229023,1.5113999999999992
Ca5VN5,mp-1247440,1.7935999999999996
LaN3O13,mp-1182768,1.5341
MgTi(WO4)2,mp-2218124,1.681
AgPb2Br5,mp-621612,1.9341
VF4,mp-1101193,1.8942
LiNbO2,mp-3924,1.5794999999999997
LiFe8(BO3)8,mp-849747,1.7294999999999998
Rb3TbMgV2O8,mp-1233436,1.5552
Fe6OF11,mp-755836,1.8602
Li2TiFeO4,mp-1285010,1.5224999999999995
Si12CO24,mp-1219366,1.6378000000000004
Mg30CrFeO32,mp-1037531,1.6152999999999995
KCBr(NO2)2,mp-558178,1.9626
SiP,mp-2798,1.7395
