pretty_formula,material_id,band_gap
TlGaS2,mp-4016,1.7885
LiFe2(BO3)2,mp-759397,1.5637
Fe3P2(HO5)2,mp-1199228,1.7308
FeHO2,mp-510670,1.8729
Sr4SnPbO8,mp-1208734,1.8592999999999997
AlP2I9,mp-28046,1.6553
Rb5Re3S7,mp-676329,1.6469999999999998
K4CO4,mp-545630,1.9637000000000002
MgFe3(PO4)3,mp-2231540,1.8437000000000001
RbCuC2,mp-5841,1.8861
GaSe3N2Cl5,mp-569902,1.7959
Mo(PO3)4,mp-705035,1.8481
CuP4S3Br,mp-1196166,1.9334999999999996
NaCaGe3P3(SO8)3,mp-2716507,1.8926
H4Pd(NO4)2,mp-1193008,1.5880999999999998
MoH12C2(S2N)2,mp-1205118,1.8155000000000001
Mg2C3,mp-28793,1.6533000000000002
SrCa3(PbO4)2,mp-1218448,1.9231000000000003
Rb4PbO4,mp-779104,1.7171000000000003
AuSCl5,mp-28192,1.56
WSe2,mp-1023936,1.5378
Ca2AlMoO5,mp-1046989,1.6287000000000003
Rb2CuBr3,mp-569531,1.8371000000000002
LiFe2O2F3,mp-755207,1.6633999999999998
Ca2MnFeSi4(HO3)5,mp-1227867,1.7123000000000004
BSe2,mp-1214789,1.7712
LiCuCO3,mp-760512,1.8723999999999998
Nb10Pb14O39,mp-1101724,1.7517999999999998
Sr3(GaN2)2,mp-16945,1.5856000000000003
TaP4(SCl)5,mp-572763,1.9435
CaFe6(OF2)4,mp-1233658,1.6716000000000002
AgPb2Br5,mp-621612,1.9341
LiNbO2,mp-3924,1.5794999999999995
LiFe8(BO3)8,mp-849747,1.7294999999999998
Fe6OF11,mp-755836,1.8601999999999999
Si12CO24,mp-1219366,1.6378000000000004
KCBr(NO2)2,mp-558178,1.9626000000000001
SiP,mp-2798,1.7395
TlGeI3,mp-29288,1.9161000000000001
Rb6InP3S14,mp-1204523,1.7382
CaP4(Br3O)4,mp-1234060,1.9045
Cs2TcF6,mp-1079364,1.8113
CaFe6(OF2)4,mp-1234276,1.6723000000000001
K3Na2InO4,mp-553975,1.9064999999999999
SiC,mp-624397,1.9959999999999987
CaNpH7O8,mp-1195107,1.5401
Ta2Zn2SiS5O24,mp-2713051,1.5603000000000002
Cs2Se,mp-1011696,1.8026999999999997
BiF5,mp-1369219,1.8671
AlAgS2,mp-7885,1.7077
PaInO4,mp-1219969,1.7480000000000002
AgNO3,mp-552185,1.8539
P2SN6,mp-1210609,1.7924
NaGeN,mp-1246750,1.5042999999999997
H6N4O9,mp-1181328,1.6163
LiBiB2O5,mp-768665,1.6436
LiMg14FeO16,mp-1035435,1.9419000000000004
Rb3InO3,mp-849527,1.7359
K2GeSe4,mp-29022,1.7867
Li3Fe5OF11,mp-1342745,1.7568
BC2N,mp-1008523,1.5215999999999994
Re3(SeCl)7,mp-679999,1.5043
Ca2AlFeO5,mp-1227552,1.7716999999999996
Cs15W7N19,mp-1087549,1.5345
Mg30BCO32,mp-1038482,1.8056
Li5BiS4,mp-766390,1.8897
Cs2RbTlBr6,mp-1112116,1.5132999999999999
NaSr6H17Pd2O17,mp-1221694,1.5143999999999997
Na6Ta20Zn4Si21(S5O48)3,mp-2715737,1.9349999999999998
SiC,mp-1204356,1.8389000000000006
CsNbN2,mp-8978,1.5227999999999997
LiFe2(BO3)2,mp-761207,1.56
MoO3,mp-20589,1.9487
MnBr2,mp-28306,1.5962
Li3Fe8(BO3)8,mp-764874,1.566
S5N4O3,mp-540558,1.7253
AgCO2,mp-1182953,1.976
MgMoP2O7,mp-2217940,1.8573000000000004
INO3,mp-754661,1.6497000000000002
MgFe4O5F3,mp-2219662,1.6722
Li8MnO5F,mp-753625,1.7231
MgFe2(SO5)2,mp-2228654,1.6617000000000002
LiFe2C2O7,mp-762511,1.9084
AlAgS2,mp-1096820,1.6349999999999998
Na3NbZn5(SO4)9,mp-2714092,1.7102999999999997
Th2S5,mp-1666,1.7512999999999996
H16RhN5(Cl2O)3,mp-866658,1.6753999999999998
MgSn3P2(SO6)4,mp-2712965,1.5154
GaHO2,mp-625628,1.6097999999999995
Na6In4Si3(SO8)3,mp-2716126,1.9002999999999997
K2SnBr6,mp-707190,1.8996
MgMn2FeWO6,mp-2217875,1.6818000000000004
MnCl2,mp-28233,1.7925999999999997
Ca2H3Br,mp-1018656,1.5364999999999998
LiAuF6,mp-1079483,1.8673
AlB3H14N,mp-1252808,1.5074999999999998
Na2SeO5,mp-734025,1.7542000000000002
MnH6(OF)3,mp-743569,1.5910000000000002
LiFe2F6,mp-557403,1.7058
WN18,mp-672264,1.7919
LiZnFeO3,mp-1222343,1.7135999999999996
AgH12C4S5N,mp-698405,1.7469999999999999
