pretty_formula,material_id,band_gap
KAgTeS3,mp-1211732,1.6838000000000002
Sm5AgS8,mp-37923,1.6384999999999996
H4Pd(NO4)2,mp-1193008,1.5880999999999998
AuSCl5,mp-28192,1.56
AgPb2Br5,mp-621612,1.9341
Ba6LiNb2Ir(ClO6)2,mp-1235867,1.5421999999999998
AlAgS2,mp-7885,1.7077
AgNO3,mp-552185,1.8539
MgAg4Te8(MoO12)2,mp-1233997,1.8913
NaSr6H17Pd2O17,mp-1221694,1.5143999999999995
K2TbAuCl6,mp-1112060,1.9648
VAgO3,mp-559736,1.6283
AgCO2,mp-1182953,1.976
AlAgS2,mp-1096820,1.6349999999999998
H16RhN5(Cl2O)3,mp-866658,1.6753999999999998
TmAgSe2,mp-1188652,1.7246999999999997
LiAuF6,mp-1079483,1.8673
AgH12C4S5N,mp-698405,1.747
Si2AgN3,mp-1246476,1.6338000000000008
Cd2P4PdO8,mp-1214873,1.7623
LiAu(S2O7)2,mp-1105750,1.9833
Ag3B5O9,mp-1194638,1.8021
Ag3AsS3,mp-555843,1.6989
ZnAg2(PS3)2,mp-1207470,1.7679999999999998
TcAgO4,mp-7206,1.6034000000000002
Ba7Ga5AgSe15,mp-1198460,1.904
K6Al11Si13Ag5O48,mp-686585,1.5983
Ag2WO4,mp-637188,1.9382
H8PtO6,mp-625208,1.938
H16PdC4S4(N5O3)2,mp-1212583,1.6554000000000002
KTa(AgSe2)2,mp-571288,1.7478
K2OsNCl5,mp-640057,1.6138000000000003
Li2PtO2,mp-1177862,1.5326
NiPtF6,mp-558838,1.6021
TlAgI2,mp-27801,1.5659
Rb2YAuF6,mp-1111399,1.5261
P2PdO6,mp-29274,1.6196000000000002
Pd(SeCl3)2,mp-28175,1.7002
Rb3AgO2,mp-553907,1.5831
H8PtO6,mp-625112,1.5662000000000005
AgN3,mp-571297,1.6314999999999995
Cs2NaRhF6,mp-1111979,1.9082000000000003
Ag4Bi2O5,mp-28996,1.6389000000000005
AsIrS,mp-1228823,1.8630000000000004
Ag2Pb8Cl4O7,mp-667327,1.9106
Ag2H6PdS2(NO3)2,mp-1202149,1.8949
Pt(C4N3)2,mp-1246801,1.94
AgBiO2,mp-996968,1.6897000000000002
VAgO3,mp-1178815,1.9488
LiAuC2,mp-29868,1.5321
Cr4AgBiO14,mp-23565,1.7973
BaMg2H8Ru,mp-643451,1.9107
KMgAg2SbS4,mp-2222914,1.9403
NaAgH2(SO2)2,mp-1196131,1.8718
NaAu(IO3)4,mp-1202202,1.9991
VAg2AsO6,mp-1188566,1.6130999999999998
LaTa2AgO7,mp-1222747,1.5627
CoPtF6,mp-556492,1.9373
