pretty_formula,material_id,band_gap
Sm5AgS8,mp-37923,1.6384999999999996
K2TbAuCl6,mp-1112060,1.9648
TmAgSe2,mp-1188652,1.7246999999999997
Rb2YAuF6,mp-1111399,1.5261
LaTa2AgO7,mp-1222747,1.5627
Sc2Pt2O7,mp-778152,1.8009000000000004
BaTb2PdO5,mp-9760,1.8352
Ho2MgAg2(WO4)4,mp-1234092,1.6027000000000005
Nd4Ag2Se7,mp-675678,1.5042
DyAgS2,mp-1200233,1.7002000000000002
Y2Au5F21,mp-30309,1.7087
Pr5AgS8,mp-34486,1.5768000000000004
Pr2ZnPtO6,mp-1209351,1.6650999999999998
ScAg(PSe3)2,mp-13383,1.6441
Sr3GdRhO6,mp-17355,1.9628000000000003
ScAuO2,mp-11023,1.7796000000000003
Cs2GdAuCl6,mp-1112633,1.5419
Ho2Pt2O7,mp-755635,1.5068999999999997
YAg(WO4)2,mp-1047110,1.9677
La5Ti2AgS5O7,mp-555253,1.5128000000000004
Gd4Au2O9,mp-623092,1.8749
SmAgS2,mp-1205094,1.9792
La2Ti3(AgO5)2,mp-6000,1.9408000000000003
Rb2ScAuBr6,mp-1111714,1.7436
LaAuO3,mp-28853,1.7977
Cs2ScAuF6,mp-1112595,1.8594
Pr3SiAgS7,mp-863751,1.8048999999999995
TmAu2F9,mp-14761,1.8684000000000005
Dy2CoPtO6,mp-1213101,1.7675999999999998
YAgS2,mp-1096795,1.7042000000000006
Dy2Pt2O7,mp-1178365,1.5345
Tb2Au5F21,mp-541348,1.6596
Dy5AgS8,mp-35512,1.731800000000001
La3SiAgS7,mp-17719,1.9663000000000004
La3SiAgSe7,mp-6485,1.6531000000000002
TmAg(PSe3)2,mp-13385,1.7789
Sm3SiAgS7,mp-863032,1.8405000000000005
ScCr2Ag(H2O5)2,mp-559606,1.7683
Cs2PrAuCl6,mp-1113408,1.9281
Nd2NiPtO6,mp-1209936,1.8452
TbAgS2,mp-1208370,1.5681000000000005
Tb5AgS8,mp-33449,1.7047999999999996
Cs2YAuBr6,mp-1112918,1.863
La3AgGeS7,mp-617632,1.9759
YAgS2,mp-1207671,1.7034000000000002
Pr2Au5F21,mp-14715,1.729
K2ScAuBr6,mp-1111993,1.7408
Cs2ScAuBr6,mp-1112631,1.7173
Ho2CoPtO6,mp-1212356,1.7584
Ho2Au5F21,mp-541349,1.6192
La2Au5F21,mp-3817,1.8445
ErAg(PSe3)2,mp-13384,1.7618
Pr2NiPtO6,mp-1209764,1.8264000000000005
Sm3AuO6,mp-10560,1.7477
BaHo2PdO5,mp-9785,1.9437999999999995
Rb2ScAuF6,mp-1110582,1.6982000000000002
Lu2Pt2O7,mp-753414,1.6988999999999996
Pr3AgGeS7,mp-862792,1.8295000000000003
Gd3AuO6,mp-10559,1.5063
HoAgS2,mp-1199297,1.5202
Rb2YAuBr6,mp-1111712,1.6251
Nd5AgS8,mp-37449,1.6121999999999996
Na2YAgF6,mp-1111092,1.6589999999999998
Nd3SiAgS7,mp-864666,1.7708999999999997
BaDy2PdO5,mp-9740,1.7855999999999996
K2ScAuF6,mp-1112256,1.5837
BaNdAgS3,mp-1095616,1.6623
Sm2NiPtO6,mp-1208922,1.6680999999999997
La4Au2O9,mp-9160,1.9691
Nd2Au5F21,mp-14716,1.7722
Gd2Au5F21,mp-557726,1.5508000000000002
ScAgO2,mp-1096798,1.7866000000000002
HoAgS2,mp-18262,1.7796999999999996
BaLaAgSe3,mp-1101818,1.6435
K2YAuBr6,mp-1112058,1.8862
Sm2ZnPtO6,mp-1208902,1.7044
Sm2Au5F21,mp-8778,1.7613
Er2Au5F21,mp-541347,1.7014999999999998
Nd4Au2O9,mp-3374,1.9966
Sm2CoPtO6,mp-1208920,1.7723000000000004
La5AgS8,mp-37478,1.5947000000000005
Sm4Ag2Se7,mp-675430,1.5147
Dy2Au5F21,mp-1213210,1.5532
K2GdAuCl6,mp-1112068,1.5861999999999998
La4Ag2Se7,mp-675223,1.5201000000000002
LiLa4AuO8,mp-560605,1.6583000000000006
Er2Pt2O7,mp-756440,1.5404999999999998
LuAu2F9,mp-14802,1.9441
Ho2MgAg2(WO4)4,mp-1233593,1.9614000000000005
La3AgSnS7,mp-542888,1.9523
Nd2ZnPtO6,mp-1209914,1.7003
GdNb5Ag2O15,mp-1212605,1.9167
BaY2PdO5,mp-9656,1.7879999999999998
Na2ScAgF6,mp-1111316,1.7862
